seri,model,titles,year,km,color,prices,date,"seri,model,titles,year,km,color,prices,date,location,""seri,model,titles,year,km,color,prices,date,location""",Il,Ilce,id,km_median,km / median
Taycan,4S Performance Plus,F-BOSS AUTODAN HATASIZ TAYCAN 571HP SPORT-CHRONO-KIRMIZI KOLTUK,2020,180,Beyaz,5780000,16/04/2023,,Mersin,Yenişehir,58,260.0,0.6923076923076923
Panamera,Panamera 4,"ÇİZGİ'DEN PORSCHE PANAMERA PDK+CHRONO+KARBON
Yetkili Bayi",2011,1680,Kahverengi,2430000,16/04/2023,,İstanbul,Maltepe,40,1680.0,1.0
Panamera,Panamera Diesel,ELİTE CAR'S 2013 PANAMERA DİESEL BAYİ-MATRİX F-A.KLİMA-VAKUM K.,2013,2360,Beyaz,3390000,16/04/2023,,Ankara,Akyurt,7,1685.0,1.400593471810089
Taycan,4S Performance Plus,TAYCAN 2022 BAYİ PERFORMANS PLUS 571 HP AİRMATİC YOLCU EKRANI,2022,125,Beyaz,6950000,16/04/2023,,Bursa,Nilüfer,21,1001.0,0.12487512487512488
Panamera,Panamera Turbo,İLK SAHİBİNDEN YABANCIDAN YABANCIYA Foreigner to Foreigner,2014,1600,Siyah,1295000,15/04/2023,,Bursa,Nilüfer,21,1420.0,1.1267605633802817
911,Carrera 4S,ZABA MOTORS'DAN 2011 PORSCHE 911 CARRERA 4S CABRİO 34.000 KM,2011,340,Beyaz,5250000,15/04/2023,,İstanbul,Bağcılar,40,1680.0,0.20238095238095238
Taycan,4S Performance Plus,2020~BAYİ~TAYCAN 4S PERFORMANCE PLUS 571Hp.YOLCU EKRAN+BOSE+AİR,2020,190,Siyah,5280000,15/04/2023,,Trabzon,Ortahisar,75,260.0,0.7307692307692307
Panamera,Panamera Diesel,ELİT MOTORS PORSCHE PANAMERA HATASIZ BOYASIZ BAYİİ STATÜSÜNDE,2012,1790,Beyaz,3150000,15/04/2023,,Konya,Karatay,53,1970.0,0.9086294416243654
911,Carrera 4S,ARVENT MOTORS 2013 PORSCHE 911CARRERA 4S,2013,1410,Beyaz,7000000,15/04/2023,,İstanbul,Ataşehir,40,1685.0,0.8367952522255193
Cayman,Cayman,2014 PORSCHE CAYMAN 53 BİN KM BAYİ ÇIKIŞLI,2014,530,Siyah,3250000,15/04/2023,,İstanbul,Üsküdar,40,1420.0,0.3732394366197183
Taycan,4S Performance Plus,ŞİRAZİ MOTORS 2020 TAYCAN 4S PERFORMANCE PLUS HATASIZ BOYASIZ,2020,400,Gri,4850000,15/04/2023,,Antalya,Muratpaşa,8,260.0,1.5384615384615385
911,Carrera 4S,"EYMEN MOTORS 2014 BAYİİ İÇİ KIRMIZI SOĞTMA,EGZOS,GTS BOYD KİT",2014,700,Sarı,6855000,15/04/2023,,İstanbul,Bağcılar,40,1420.0,0.49295774647887325
Panamera,Panamera Diesel,2014 PANAMERA 3.0 D TİPTRONİC BAYİİ,2014,1590,Siyah,3760000,15/04/2023,,İstanbul,Bağcılar,40,1420.0,1.119718309859155
Panamera,Panamera Diesel,2015 PANAMERA DİZEL HATASIZ VAKUM /ELK BAGAJ/ISITMA/­SOĞUTMA/BAYİ,2015,1470,Siyah,4275000,15/04/2023,,İzmir,Buca,41,1280.0,1.1484375
Panamera,Panamera Diesel,SAR MOTOR'S DAN 2012 HATASIZ BOYASIZ TRAMERSİZ VERGİ BARIŞLI,2012,1600,Beyaz,3125000,15/04/2023,,Denizli,Merkezefendi,25,1970.0,0.8121827411167513
Panamera,Panamera 4,CRK AUTO 2012 MODEL PANAMERA 4 BAYİ,2012,1980,Beyaz,3050000,15/04/2023,,İstanbul,Küçükçekmece,40,1970.0,1.0050761421319796
Taycan,4S Performance Plus,MILLIENIUM 2020 TAYCAN 4S PERFORMANCE PLUS,2020,1015,Siyah,4645000,15/04/2023,,İzmir,Gaziemir,41,260.0,3.9038461538461537
Panamera,Panamera GTS,''RUN MOTORS'' 2012 MODEL PORCHE PANAMERA GTS FULL !!!,2012,960,Beyaz,3999999,15/04/2023,,İstanbul,Bakırköy,40,1970.0,0.4873096446700508
Panamera,Panamera 4S Diesel,NOBEL MOTORS 2016 PORSCHE PANAMERA 4S DİESEL BAYİ-CHRONO-SOĞUTMA,2016,32438,Gri,9450000,15/04/2023,,İstanbul,Sarıyer,40,700.0,46.34
Taycan,4S Performance Plus,SEVENAUTO 4S PERFORMANCE PLUS ISITM SOĞUTMA HAFIZA MASAJ BOSE,2020,6001,Beyaz,5600000,15/04/2023,,İzmir,Gaziemir,41,260.0,23.08076923076923
Taycan,4 Cross Turismo,-VIPCAR- TAYCAN 4 CROSS TOURISMO,2022,61,Siyah,6450000,15/04/2023,,İstanbul,Bakırköy,40,1001.0,0.060939060939060936
Panamera,Panamera 4,2011 PANAMERA4 3.6 OTOMATİK 220.000 KMDE,2011,2200,Beyaz,2050000,15/04/2023,,Kocaeli,Körfez,52,1680.0,1.3095238095238095
Panamera,Panamera Diesel,2012 BAYİ ÇIKIŞLI HATASIZ BOYASIZ DEĞİŞENSİZ PORSCHE PANAMERA,2012,1580,Gri,3145000,15/04/2023,,Antalya,Kepez,8,1970.0,0.8020304568527918
Taycan,Turbo S,SS MOTORS BAYİ 2020 TAYCAN TURBO S-SERAMİK-C­ARBON-YOLCU EKR.-360,2020,37961,Beyaz,7695000,15/04/2023,,İstanbul,Şişli,40,260.0,146.00384615384615
Taycan,4S Performance Plus,BOYASIZ DEĞİŞENSİZ TRAMERSİZ PORSCHE TAYCAN 4S ELECTİRİC,2020,3767,Beyaz,5100000,15/04/2023,,Düzce,Merkez,27,260.0,14.488461538461538
911,Carrera 4S,"REFORM MOTORS 2016 911 CARRERA 4S MAKYAJLI ""SOĞUTMA+MA­TRİX+LİFT""",2016,284,Siyah,8200000,15/04/2023,,İstanbul,Bağcılar,40,700.0,0.4057142857142857
Taycan,4S Performance Plus,2022 PORSCHE TAYCAN 4S PERFORMANCE PLUS 571HP BAYİİ YOLCU EKRANI,2022,65,Mavi,6550000,15/04/2023,,İstanbul,Bağcılar,40,1001.0,0.06493506493506493
Taycan,4S Performance Plus,DB OTOMOTİVDEN TAYCAN 4S PERFORMANCE PLUS SPORT DESING,2020,140,Siyah,4750000,15/04/2023,,Adana,Çukurova,1,260.0,0.5384615384615384
Panamera,Panamera Diesel,"REFORM MOTORS 2012 PANAMERA DİESEL ""VERGİ BARIŞ+VAKUM+BOSE""",2012,920,Siyah,2950000,15/04/2023,,İstanbul,Bağcılar,40,1970.0,0.467005076142132
Panamera,Panamera Diesel,'AUTO BEST' 2012 PANAMERA FACELİFT VERGİ BARIŞLI HATASIZ BOYASIZ,2012,2200,Kırmızı,3680000,15/04/2023,,İstanbul,Maltepe,40,1970.0,1.116751269035533
Taycan,4S Performance Plus,4S PERFORMANCE PLUS 571-ARKA AKS-YOLCU EKRANLI-AIRM­ATIC-HATASIZ,2020,110,Beyaz,5570000,15/04/2023,,Ankara,Çankaya,7,260.0,0.4230769230769231
Taycan,Taycan,Sahibinden,2021,1185,Siyah,4800000,15/04/2023,,İzmir,Karşıyaka,41,180.0,6.583333333333333
Panamera,Panamera 4,ACC PDK SPORT ve SPORT PLUS,2011,1880,Beyaz,4050000,15/04/2023,,Trabzon,Akçaabat,75,1680.0,1.119047619047619
Panamera,Panamera Turbo,A&C motors ' PANAMERA TURBO 4.8 AIRMATIC+BURM­USTER+CARBON,2010,1200,Siyah,3650000,15/04/2023,,Ankara,Yenimahalle,7,1420.0,0.8450704225352113
Panamera,Panamera Diesel,KYN MOTORS 3.0PANAMERA 300HP HATASIZ BAYİ CHRONO VAKUM ÖZEL RNK,2015,18783,Füme,4729500,15/04/2023,,İzmir,Konak,41,1280.0,14.67421875
Panamera,Panamera Diesel,2012 V.BARIŞLI 220.000 KM*PUSULA* BOSE*GTS*AİR­MATIC*CARBON GRİ*,2012,219999,Füme,2709000,15/04/2023,,Ankara,Çankaya,7,1970.0,111.6746192893401
911,Turbo S,BARAN MOTORS 2020 PORSCHE 911 TURBO S GT SILVER TRUFFEL,2020,6001,Gümüş Gri,18650000,15/04/2023,,İstanbul,Beşiktaş,40,260.0,23.08076923076923
Taycan,4S Performance Plus,2020 PORSCHE TAYCAN 4S PERFORMANCE PLUS BAYİ ÇIKIŞLI,2020,120,Beyaz,6850000,15/04/2023,,İstanbul,Sancaktepe,40,260.0,0.46153846153846156
911,Carrera S,GALERİ YAVUZ KAVACIK 2012 MODEL 199BİNKMDE BOYASIZ HATASIZ,2011,1990,Beyaz,7000000,15/04/2023,,İstanbul,Beykoz,40,1680.0,1.1845238095238095
Taycan,4S Performance Plus,2021 BAYİİ ÇIKIŞLI ÖZEL SİPARİŞ 450 KM MENZİL,2020,601,Beyaz,6520000,15/04/2023,,İstanbul,Sarıyer,40,260.0,2.3115384615384613
911,Carrera 4S,"ENER/2006 CARRERA 4S-BOSE-ISITMA-­CHRONO-XENON-19""­JANTLAR-98500KM",2006,985,Siyah,2750000,15/04/2023,,İstanbul,Şişli,40,1210.0,0.8140495867768595
Taycan,Turbo S,QUEEN'S AUTO 2020 PORSCHE TAYCAN TURBO S - SOĞUTMA-CARBON-BAYİ,2020,61,Siyah,7850000,15/04/2023,,İstanbul,Bakırköy,40,260.0,0.23461538461538461
Taycan,4 Cross Turismo,2023 BAYİ TAYCAN4 CROSS TURISMO SOĞUTMA YOLCU EKRANI DISTRONIC,2023,1008,Siyah,6250000,15/04/2023,,İstanbul,Beşiktaş,40,1008.0,1.0
Panamera,Panamera Turbo,SAHİBİNDEN 2011 PANAMERA TURBO 4.8 500 HP CHRONO,2011,1170,Beyaz,3250000,15/04/2023,,İstanbul,Beylikdüzü,40,1680.0,0.6964285714285714
Taycan,4S Performance Plus,EURO MOTORS 2020 PORSCHE TAYCAN 4S PERFORMANCE PLUS,2020,25449,Gri,5380000,15/04/2023,,İstanbul,Sarıyer,40,260.0,97.88076923076923
Panamera,Panamera Diesel,HATASIZ BOYASIZ BAYi ÇIKIŞLI,2012,2100,Siyah,3000000,15/04/2023,,İstanbul,Gaziosmanpaşa,40,1970.0,1.0659898477157361
Panamera,Panamera Diesel,DEMİR GROUP DAN HATASIZ BOYASIZ PANAMERA 144 BİN KM DE EMSALSİZ,2013,1440,Beyaz,4600000,14/04/2023,,Bursa,Nilüfer,21,1685.0,0.8545994065281899
Cayman,Cayman,HATASIZ EMSALSİZ ''87 BİN KM'',2011,870,Beyaz,1999000,14/04/2023,,Ankara,Çankaya,7,1680.0,0.5178571428571429
Taycan,4 Cross Turismo,2022-DOĞUŞ-TAYCAN 4 CROSS TURISMO-SOĞUTMA-360 KAMRA-AİRMATİC,2022,6161,Siyah,6200000,14/04/2023,,Trabzon,Ortahisar,75,1001.0,6.154845154845155
Boxster,Boxster,1997 PORSCHE BOXSTER OTOMATİK CABRİO KUSURSUZ İÇİ KIRMIZI,1997,1500,Gümüş Gri,1000000,14/04/2023,,İstanbul,Beykoz,40,910.0,1.6483516483516483
Taycan,4S Performance Plus,2022 DOĞUŞ ÇIKIŞLI TAYCAN 4S PERFORMANCE PLUS BOYASIZ,2022,65,Siyah,6950000,14/04/2023,,Antalya,Serik,8,1001.0,0.06493506493506493
718,Cayman,Porsche 718 Cayman 2017 Mavi / Kusursuz / Chrono / Garaj Aracı,2017,464,Mavi,3925000,14/04/2023,,İstanbul,Ataşehir,40,850.0,0.5458823529411765
Taycan,Turbo S,-VEGAS MOTORS-2020 PORSCHE TAYCAN TURBO S BAYİ A.AKS SERAMİK AİR,2020,61,Siyah,8500000,14/04/2023,,İstanbul,Kadıköy,40,260.0,0.23461538461538461
Panamera,Panamera 4S Diesel,KOYUNCU AUTO BAYİİ 2016 PANAMERA 4S DİESEL HATASIZ TAM DOLU,2016,530,Siyah,9150000,14/04/2023,,Mersin,Erdemli,58,700.0,0.7571428571428571
Panamera,Panamera 4S,-GO CAR- 2012 PORSCHE PANAMERA 4S BOSE/SOĞUTMA 37.500 KM BOYASIZ,2012,375,Siyah,3675000,14/04/2023,,İstanbul,Ataşehir,40,1970.0,0.19035532994923857
Cayman,Cayman,AYAR AUTO 2008 PORSCHE CAYMAN 2.7 BOSE CHRONO ISITMA SPOR EGZOZ,2008,1180,Füme,1675000,14/04/2023,,İstanbul,Bakırköy,40,1350.0,0.8740740740740741
Taycan,Turbo S,- MAJESTY - 2020 TAYCAN TURBO S CARBON AIRMATIC YOLCU EKRAN BAYİ,2020,140,Gri,7500000,14/04/2023,,İstanbul,Kadıköy,40,260.0,0.5384615384615384
Taycan,4S Performance Plus,TARGET MOTORS 2020 PORSCHE TAYCAN 4S PERFORMANCE PLUS,2020,1387,Beyaz,5350000,14/04/2023,,İstanbul,Beşiktaş,40,260.0,5.334615384615384
Panamera,Panamera 4S Diesel,AER MOTORS/2017 HATASIZ PANAMERA 4S DİESEL TURBO KANAT-360KAMERA,2017,990,Beyaz,8850000,14/04/2023,,Antalya,Manavgat,8,850.0,1.1647058823529413
Panamera,Panamera Diesel,İLK SAHİBİNDEN HATASIZ 65.000 DE PANAMERA BAYİİ ÇIKIŞLI,2015,655,Gri,6300000,14/04/2023,,Bursa,Nilüfer,21,1280.0,0.51171875
Panamera,Panamera 4S,YENİKÖY MOTORS İZMİR-2018 PORSCHE PANAMERA 4S-SOĞUTMA-BAYİ,2018,513,Beyaz,10300000,14/04/2023,,İzmir,Bayraklı,41,490.0,1.046938775510204
Taycan,4S Performance Plus,BERLİN MOTORS'DAN 2021 ÇIKIŞLI PORSCHE TAYCAN 4SPERFORMANCE PLUS,2020,130,Gri,6000000,14/04/2023,,İstanbul,Beylikdüzü,40,260.0,0.5
Taycan,4S Performance Plus,HATASIZ 2020 PORSCHE TAYCAN 4S PERFORMANCE PLUS+CHRONO+SOĞUTMA,2020,180,Siyah,5290000,14/04/2023,,İstanbul,Kadıköy,40,260.0,0.6923076923076923
Taycan,4S Performance Plus,ELITE AUTO 2020 TAYCAN 4S PP SPORTDSIGN HEAD-UP AKS ACC BOSE 21J,2020,260,Siyah,5275000,14/04/2023,,İstanbul,Bakırköy,40,260.0,1.0
Taycan,4S Performance Plus,MODENA MOTORS 2020 PORSCHE TAYCAN 4S PERFORMANS PLUS+ARKA AKS,2020,305,Siyah,5075000,14/04/2023,,İstanbul,Kadıköy,40,260.0,1.1730769230769231
Panamera,Panamera Diesel,BORZ MOTOR'DAN 2012 PANAMERA 3.0 D 109.000KM+AİR+C­HRONO+HATASIZ!,2012,1090,Siyah,3499900,14/04/2023,,İstanbul,Bahçelievler,40,1970.0,0.5532994923857868
Panamera,Panamera Diesel,MELİNDA MOTORS''TAN 2015 PANERAMA TR DE TEK,2015,1400,Siyah,4750000,14/04/2023,,İstanbul,Zeytinburnu,40,1280.0,1.09375
Panamera,Panamera Diesel,2013 PLATİNUM EDİTİON VAKUM ISITMA SOĞUTMA BOSE CARBON PUSULA,2013,2670,Beyaz,2950000,14/04/2023,,Mersin,Yenişehir,58,1685.0,1.5845697329376855
Panamera,Panamera Diesel,MFK MOTORS HATASIZ PANAMERA İÇİ BEJ GTS CARBON CHRONE FULL 300HP,2013,2090,Beyaz,3550000,14/04/2023,,Antalya,Manavgat,8,1685.0,1.2403560830860534
Taycan,Taycan,NİĞDELİLER 2022 Porsche Taycan Performance Plus 408hp / 6444,2022,7159,Siyah,6289000,14/04/2023,,İzmir,Gaziemir,41,1001.0,7.151848151848152
Taycan,4S Performance Plus,"BMotors Plaza 2022 BAYİ TAYCAN 4S P.PLUS AİR Y.EKRANI BOSE SOGTM
Yetkili Bayi",2022,6001,Siyah,6650000,14/04/2023,,Sivas,Merkez,72,1001.0,5.995004995004995
911,Carrera 4S,ANKA'DAN BAYİ ÇIKIŞLI DÜŞÜK KM PORSCHE CARRERA 4S 400 HP,2011,640,Beyaz,3250000,14/04/2023,,İstanbul,Kadıköy,40,1680.0,0.38095238095238093
Taycan,4S Performance Plus,Sahibinden...,2020,270,Siyah,6400000,14/04/2023,,Adana,Ceyhan,1,260.0,1.0384615384615385
Taycan,4S Performance Plus,İLK SAHİBİNDEN GARANTİSİ UZATILMIŞ.,2020,450,Siyah,4875000,14/04/2023,,Antalya,Kemer,8,260.0,1.7307692307692308
Panamera,Panamera Diesel,KOYUNCU AUTO BAYİ 2012 PORSCHE PANAMERA HATASIZ BOSE TAM FULL,2012,1160,Beyaz,3425000,14/04/2023,,Mersin,Erdemli,58,1970.0,0.5888324873096447
911,Carrera 4,HANCAR 2021 PORSCHE 911 CARRERA 4-SOĞUTMA-SPOR EGSOZ-BOSE,2021,1983,Siyah,11950000,14/04/2023,,İstanbul,Eyüpsultan,40,180.0,11.016666666666667
911,Turbo,MEHCAR 2010-BAYİ-911 TURBO TECHART-SOGUTM­A-CHRONO-BOSE,2010,645,Siyah,4949000,14/04/2023,,İstanbul,Küçükçekmece,40,1420.0,0.45422535211267606
Cayman,Cayman,POSH MOTORS_2008 PORSCHE CAYMAN MANUEL-BAYİ ÇIKIŞLI,2008,1460,Siyah,1550000,14/04/2023,,İstanbul,Pendik,40,1350.0,1.0814814814814815
718,Cayman,NASYONEL BAYİ GT4 AERO KIT OZ JANT SEMI SLICK BOSE PDLS+ CHRONO,2017,6305,Kırmızı,3645000,14/04/2023,,İstanbul,Beşiktaş,40,850.0,7.41764705882353
Taycan,4S Performance Plus,CAR-LEO 2022 TAYCAN 4S PERFORMANS PLUS ARKA AKS 21 JANT,2022,6001,Siyah,6990000,14/04/2023,,İstanbul,Bağcılar,40,1001.0,5.995004995004995
Panamera,Panamera Diesel,REGERA MOTORS 2013 PORSCHE PANAMERA DIESEL - MARSHALLA SOĞUTMA,2013,2380,Siyah,2640000,14/04/2023,,İstanbul,Bakırköy,40,1685.0,1.4124629080118694
Panamera,Panamera Diesel,İÇİ DIŞI ÇOK GÜZEL VE TEMİZ BAKIMLI SIFIR GİBİ TEMİZZ,2012,1920,Beyaz,3000000,14/04/2023,,Eskişehir,Odunpazarı,32,1970.0,0.9746192893401016
Panamera,Panamera Diesel,ÇELİKLER LUXURY CARS,2013,920,Füme,4080000,14/04/2023,,Antalya,Muratpaşa,8,1685.0,0.5459940652818991
Taycan,4S Performance Plus,ALKAN AŞ 2020 PORSCHE TAYCAN 4S PERF.PLUS-TRUF-S­OĞUTMA-11.000km,2020,110,Siyah,5100000,14/04/2023,,Ankara,Çankaya,7,260.0,0.4230769230769231
Panamera,Panamera Diesel,ARSLAN OTOMOTİV/BAYİ/BOYA­SIZ/300HP/EDITİON/B­OSE/CARBON/4BÖLGE/,2015,1650,Siyah,3925000,14/04/2023,,Afyonkarahisar,Merkez,0,1280.0,1.2890625
Cayman,Cayman,ÇINARAY AUTO PORSCHE CAYMAN 2.9 PDK 265 HP 87.000 KM,2011,980,Beyaz,2380000,14/04/2023,,Ankara,Yenimahalle,7,1680.0,0.5833333333333334
Panamera,Panamera Diesel,PORSCHE PANAMERA DIESEL PLATINUM EDITION ORJ 118BİN KM,2012,1180,Beyaz,3200000,14/04/2023,,İstanbul,Sancaktepe,40,1970.0,0.5989847715736041
Taycan,4S Performance Plus,HATASIZ 2020 PORSCHE TAYCAN 4S PERFORMANCE PLUS-CHRONO -360°-BOSE,2020,320,Füme,5500000,14/04/2023,,Ankara,Çankaya,7,260.0,1.2307692307692308
911,Targa 4S,ARES'DEN 2007 911 TARGA 4S,2007,1600,Siyah,3250000,14/04/2023,,Ankara,Çankaya,7,1300.0,1.2307692307692308
911,Carrera 4S,2013 CARREEA 4S 73000 KM SPOR EGZOZ+CHRONO+MOCA DERİ+BOSE+SOGUTM,2013,734,Beyaz,5580000,14/04/2023,,İstanbul,Tuzla,40,1685.0,0.4356083086053412
Panamera,Panamera 4,Hatasız boyasız bayi çıkışlı,2011,640,Mavi,4050000,14/04/2023,,Ankara,Keçiören,7,1680.0,0.38095238095238093
Panamera,Panamera Diesel,2012 PANAMERA GTS PAKET AİR CARBON CHRONO TURBO JANT,2012,2450,Siyah,2600000,14/04/2023,,İstanbul,Başakşehir,40,1970.0,1.2436548223350254
Taycan,Turbo S,ÖZEL SİPARİŞ İLK SAHİBİNDEN TAYCAN TURBO S BAYİ-PDCC-S­OĞUTMA-PPF,2020,360,Beyaz,8700000,13/04/2023,,İstanbul,Beşiktaş,40,260.0,1.3846153846153846
Panamera,Panamera Diesel,Bayi Çıkışlı \ Uzay Gri \ Sahibinden,2014,2090,Gri,4800000,13/04/2023,,Ankara,Çankaya,7,1420.0,1.471830985915493
Taycan,4S Performance Plus,PORCSHE TAYCAN 4S PERFORMANCE || PLUS EN FULL 571 HP,2021,70,Lacivert,7500000,13/04/2023,,Giresun,Bulancak,34,180.0,0.3888888888888889
Boxster,Boxster,'' ANL MOTORS '' 2011 PORSCHE BOXSTER 2.7 PDK/BAYİ/ISITMA,2011,990,Sarı,2020000,13/04/2023,,İstanbul,Bayrampaşa,40,1680.0,0.5892857142857143
Panamera,Panamera Diesel,Porsche panemera diesel kusursuz en dolusu,2015,978,Beyaz,4875000,13/04/2023,,İstanbul,Bağcılar,40,1280.0,0.7640625
Panamera,Panamera Diesel,ARA MOTORS'DAN 2012 PANAMERA DİESEL V.BARIŞLI AİR+SOĞTMA,2012,1350,Beyaz,3250000,13/04/2023,,Denizli,Pamukkale,25,1970.0,0.6852791878172588
Taycan,4 Cross Turismo,GEPARD|2021 PORSHE TAYCAN 4 CROSS TURISMO HATASIZ,2021,61,Gri,5700000,13/04/2023,,İstanbul,Beşiktaş,40,180.0,0.3388888888888889
911,GT3,GALLERIA-2021 PORSCHE 911 GT3 TOURING-ÖN AKS-SPOR EGZOZ-BOSE,2021,90,Siyah,19200000,13/04/2023,,İstanbul,Şişli,40,180.0,0.5
Panamera,Panamera Diesel,SAHİBİNDEN HATASIZ BOYASIZ TRAMERSİZ,2012,2090,Beyaz,2795000,13/04/2023,,Ankara,Etimesgut,7,1970.0,1.0609137055837563
Panamera,Panamera 4 Platinum Edition,ÇAKIROĞLU OTOMOTİV'DEN 2022 PANAMERA 4 PLATİNUM EDİTİON BAYİ,2022,70,Siyah,11700000,13/04/2023,,Düzce,Merkez,27,1001.0,0.06993006993006994
911,Carrera,SS MOTORS 1998 PORSCHE 911 CARRERA-DARK BLUE METALLIC,1998,120871,Mavi,1495000,13/04/2023,,İstanbul,Şişli,40,9988.0,12.101621946335603
911,Carrera 4S,NASYONEL DOĞUŞ 2025 GARANTİ 20JANT SPOR EGSOZ CARBON SOĞTMA BOSE,2016,27492,Beyaz,8200000,13/04/2023,,İstanbul,Beşiktaş,40,700.0,39.27428571428572
Taycan,4S Performance Plus,2021 BAYİ TAYCAN 4S PERFORMANS PLUS ARKA AKS-22KW SARJ - %18 KDV,2021,61,Lacivert,6599000,13/04/2023,,Ankara,Yenimahalle,7,180.0,0.3388888888888889
Panamera,Panamera 4S,DOĞUŞ BAYİİ 2012 PORSCHE PANAMERA 4S 4.8 MOTOR HATASIZ AYARINDA,2012,2640,Beyaz,3590000,13/04/2023,,İzmir,Torbalı,41,1970.0,1.3401015228426396
911,Carrera,BAYİİ ÇIKIŞLI PORSCHE 911,2005,1460,Gümüş Gri,3200000,13/04/2023,,Adana,Çukurova,1,1405.0,1.0391459074733096
Panamera,Panamera Diesel,Hatasız Porche Panamera air pusula sogutma ısıtma En Dolusu,2012,1620,Beyaz,3175000,13/04/2023,,İstanbul,Eyüpsultan,40,1970.0,0.8223350253807107
Taycan,Turbo,YENİKÖY MOTORS KARTAL 2020 TAYCAN TURBO - PASSENGER DISPLAY,2020,603,Beyaz,7350000,13/04/2023,,İstanbul,Kartal,40,260.0,2.3192307692307694
911,Carrera,- AYAZ MOTORS 2012 PORSCHE CARRERA 911 BAYİ,2012,690,Siyah,5250000,13/04/2023,,İstanbul,Kadıköy,40,1970.0,0.350253807106599
Panamera,Panamera Diesel,SAVAŞ AUTO 2012 3.0 DİESEL VADE TAKAS OLUR,2012,2490,Beyaz,2590000,13/04/2023,,İstanbul,Bağcılar,40,1970.0,1.263959390862944
Panamera,Panamera 4S,ETİLERMOTOR­S-PANAMERA 4S-SOĞUTMA-S. EGZOZ-KARBON-M­ULTIMEDYA-PDCC,2017,345,Beyaz,8790000,13/04/2023,,İstanbul,Beşiktaş,40,850.0,0.40588235294117647
Cayman,Cayman,2007 Porsche Cayman 2.7,2007,1740,Siyah,1800000,13/04/2023,,İzmir,Bayraklı,41,1300.0,1.3384615384615384
Panamera,Panamera Diesel,PANEMERA BAYİİİ DOĞUŞ TEMİZZ TRAMER YOK,2015,1590,Beyaz,4000000,13/04/2023,,Tekirdağ,Süleymanpaşa,73,1280.0,1.2421875
Taycan,4S Performance Plus,PORSCHE TAYCAN 4S PERFORMANCE PLUS-BAYİ-HATASIZ,2020,160,Beyaz,5750000,13/04/2023,,Samsun,Atakum,67,260.0,0.6153846153846154
Taycan,4S Performance Plus,İMPERİAL MOTORS 2021 PORSCHE TAYCAN 4S PERFORMANCE PLUS BOSE,2021,250,Siyah,4900000,13/04/2023,,Ankara,Çankaya,7,180.0,1.3888888888888888
Taycan,Turbo S,2020 PORSCHE TAYCAN TURBO S DOĞUŞ ÇIKIŞ BAYİİ GARANTİLİ,2020,290,Siyah,6200000,13/04/2023,,İstanbul,Eyüpsultan,40,260.0,1.1153846153846154
Boxster,Boxster,2007 DOĞUŞ ÇIKIŞLI CHRONO+BOSE+IS­ITMA+EGZOZ+LED STOP+MULTİMEDİA,2007,830,Kırmızı,1420000,13/04/2023,,İstanbul,Bağcılar,40,1300.0,0.6384615384615384
911,Carrera 4S,SS MOTORS BAYİ 2013 911 CARRERA 4S-CHRONO-SOĞUT­MA-BOSE-36.615 KM,2013,36615,Siyah,6500000,13/04/2023,,İstanbul,Şişli,40,1685.0,21.729970326409497
911,Carrera 4 GTS,ATA CAR 2023 MODEL PORSCHE CARRERA 4 GTS,2022,608,Siyah,16250000,13/04/2023,,İstanbul,Bakırköy,40,1001.0,0.6073926073926074
Panamera,Panamera Diesel,HASAR KAYITSIZ 160 KM DE İÇİ DIŞI TEMİZ VE BAKIMLI ARABA,2012,1600,Beyaz,3200000,13/04/2023,,Eskişehir,Odunpazarı,32,1970.0,0.8121827411167513
911,Carrera 4,GARAGE 2006 PORSCHE CARRERA 4/ISITMA/CHRO­NO/BOSE/BAYİ,2006,60672,Gri,3375000,13/04/2023,,İstanbul,Beykoz,40,1210.0,50.14214876033058
Taycan,Turbo,NARİN'DEN 2021 PORSCHE TAYCAN TURBO CHRONO 680 HP BAYİ ÇIKIŞLI,2021,22658,Gri,6300000,13/04/2023,,İstanbul,Beşiktaş,40,180.0,125.87777777777778
Taycan,Turbo,TARGET MOTORS 2020 TAYCAN TURBO BOSE+YOLCU+SĞT­M+18KLTK+680HP,2020,675,Kırmızı,6750000,13/04/2023,,İstanbul,Beşiktaş,40,260.0,2.5961538461538463
911,GT3,ATA CAR 2023 MODEL PORSCHE 911 GT3,2022,6001,Siyah,17250000,13/04/2023,,İstanbul,Bakırköy,40,1001.0,5.995004995004995
911,Carrera GTS,BAYI CIKISLI HASARSIZ GARANTILI PORSCHE 991.2 911 4 GTS,2017,350,Füme,12000000,13/04/2023,,İstanbul,Beşiktaş,40,850.0,0.4117647058823529
Panamera,Panamera Diesel,HATASIZ KUSURSUZ BAKIMLARI YENİ,2012,2750,Siyah,2750000,13/04/2023,,Balıkesir,Bandırma,12,1970.0,1.3959390862944163
Taycan,Turbo S,"ÖZGÖRKEY OTOMOTİV BORNOVA 2020 MODEL PORSCHE TAYCAN TURBO S
Yetkili Bayi",2020,34125,Gri,5899900,13/04/2023,,İzmir,Bornova,41,260.0,131.25
Panamera,Panamera,ATA CAR 2022 MODEL PORSCHE PANAMERA4 M.MEDYA S.EGZOS BURMESTER,2022,6001,Siyah,12750000,13/04/2023,,İstanbul,Bakırköy,40,1001.0,5.995004995004995
