seri,model,titles,year,km,color,prices,date,location,"seri,model,titles,year,km,color,prices,date,location,""seri,model,titles,year,km,color,prices,date,location"""
911,GT3,YENİKÖY MOTORS 2021 PORSCHE GT3 4.0 - LIFTING - SERAMİK,2021.0,8.0,Mavi,19.350.000 TL,"12 Nisan
2023","İstanbul
Sarıyer",
Panamera,Panamera Diesel,"C A N K A Y'DAN GTS EDITION-BOYASIZ-TAM DOLU-CARBON -BOSE-SOĞUT
Yetkili Bayi",2012.0,208.0,Beyaz,2.895.000 TL,"12 Nisan
2023","Ankara
Çankaya",
Panamera,Panamera Diesel,2013 BAYİ ÇIKIŞLI PLATİNİUM EDİTİON 146000 KM,2013.0,146.0,Beyaz,3.485.000 TL,"12 Nisan
2023","Ankara
Etimesgut",
Panamera,Panamera Diesel,2014 MODEL BAYİ ÇIKIŞLI MAKYAJLI 85.000KM'DE DIŞ FÜME İÇİ KAHVE,2014.0,85.95,Füme,4.425.000 TL,"12 Nisan
2023","Ankara
Etimesgut",
Boxster,Boxster,2011 PORSCHE BOXSTER -DOĞUŞ - İLK SAHİBİ SERVİS KAYITLI HATASIZ,2011.0,88.211,Beyaz,2.450.000 TL,"12 Nisan
2023","İzmir
Konak",
Panamera,Panamera 4 E-Hybrid,EREN OTOMOTİVDEN 2019 PORSCHE PANEMERA 4 E-HYBRİD+ISI­TMA+SOĞUTMA,2019.0,37.0,Siyah,8.780.000 TL,"12 Nisan
2023","İzmir
Gaziemir",
911,Carrera 4S,Caretta'dan Bayi Çıkışlı Carbon Turbo Facelift Porsche 911,2006.0,81.0,Siyah,2.599.900 TL,"12 Nisan
2023","İstanbul
Ataşehir",
Taycan,Turbo S,HATASIZ KAZASIZ TAYCAN TURBO S,2020.0,29.0,Füme,6.300.000 TL,"12 Nisan
2023","İzmir
Bayraklı",
Panamera,Panamera Diesel,2013 MAKYAJLI KASA VAKUM+BOSE+­ANAHTARSIZ GİRİŞ,2013.0,221.0,Beyaz,2.850.000 TL,"12 Nisan
2023","Antalya
Muratpaşa",
Panamera,Panamera 4S,PORSCHE PANAMERA 4S_2011_238.00­0KM_CARACTERE BODY KİT_HATASIZ,2011.0,238.0,Beyaz,2.350.000 TL,"11 Nisan
2023","Antalya
Muratpaşa",
Panamera,Panamera 4,AKSIN MOTORS'DAN PANAMERA 4 V6 3.6 OTOMATİK,2011.0,155.88,Siyah,2.085.000 TL,"11 Nisan
2023","Ankara
Etimesgut",
Taycan,4S Performance Plus,ÖZEL FERRARİ KIRMIZISI RENGİNDE DOĞUŞ GARANTİSİ KAPSAMINDA,2020.0,29.0,Kırmızı,6.130.000 TL,"11 Nisan
2023","Tekirdağ
Süleymanpaşa",
Panamera,Panamera Diesel,porsche panamera 2015,2014.0,45.0,Beyaz,6.000.000 TL,"11 Nisan
2023","İzmir
Balçova",
Boxster,S,2002 PORSCHE BOXSTER S MANUEL EMSALSİZ,2002.0,93.0,Siyah,1.500.000 TL,"11 Nisan
2023","Adana
Seyhan",
Panamera,Panamera 4S,DOĞUŞ ÇIKIŞLI.HASAR KAYITSIZ.4 ÇEKER. TAKAS OLUR. TAKASLI,2010.0,320.0,Füme,2.250.000 TL,"11 Nisan
2023","İzmir
Buca",
911,Turbo,SAHİBİNDEN TEMİZ PORSCHE,2010.0,88.0,Lacivert,5.750.000 TL,"11 Nisan
2023","İstanbul
Kağıthane",
Taycan,4S Performance Plus,SAHİBİNDEN TAYCAN 4S PERFORMANCEPLUS SPORTDESGN,2020.0,20.0,Gri,5.000.000 TL,"11 Nisan
2023","İzmir
Güzelbahçe",
Panamera,Panamera 4 E-Hybrid,NERGİZ'DEN 2021 PANAMERA 4E HYBRİD BURMESTER+D İSTRONİC+4 MASAJ,2021.0,10.0,Siyah,11.000.000 TL,"11 Nisan
2023","Gaziantep
Şehitkamil",
Taycan,4S Performance Plus,AZ KM SAHİBİNDEN FULL BAYİ %18KDV SİYAH KIRMIZI PERFORMANCEPLUS,2021.0,1.6,Siyah,6.435.000 TL,"11 Nisan
2023","İstanbul
Kartal",
Panamera,Panamera 4,PORSCHE PANAMERA TERTEMİZ MASRAFSIZ,2012.0,173.0,Beyaz,2.450.000 TL,"11 Nisan
2023","İstanbul
Ümraniye",
911,Turbo S,SS MOTORS 2013 PORSCHE 911 TURBO S-SERAMİK-SOĞUT­MA-BOSE-CHRONO,2013.0,36.034,Siyah,10.300.000 TL,"11 Nisan
2023","İstanbul
Şişli",
Boxster,Boxster,ATASOY 1998 PORSCHE 986 2.5 BOXSTER SORUNSUZ,1998.0,180.832,Gri,795.000 TL,"11 Nisan
2023","Ankara
Gölbaşı",
718,718,"SAHİBİNDEN, DOĞUŞ OTO ÇIKIŞLI VE BAKIMLI, HATASIZ , 28.600KM",2016.0,28.6,Beyaz,4.125.000 TL,"11 Nisan
2023","Ankara
Çankaya",
718,Boxster,718 BOXSTER NADIR PORSCHE RENGI,2016.0,68.0,Gri,3.700.000 TL,"11 Nisan
2023","İstanbul
Beşiktaş",
Taycan,Turbo,YENİKÖY MOTORS 2020 TAYCAN TURBO -BURMESTER- PDCC-DISPLAY,2020.0,7.8,Siyah,6.650.000 TL,"11 Nisan
2023","İstanbul
Sarıyer",
911,Carrera 4S,CARELLA.. 2010 PORSCHE 911 CARRERA 4S BAYİİ HATASIZ PDK SGT-IST,2010.0,83.0,Beyaz,4.500.000 TL,"11 Nisan
2023","İstanbul
Üsküdar",
Cayman,S,CAYMAN S BAYİ İÇİ TABA FATURALI TÜM BAKIMLARI YENİ,2006.0,154.0,Siyah,1.425.000 TL,"11 Nisan
2023","İstanbul
Ümraniye",
Panamera,Panamera Diesel,PLUS AUTO'DAN 4 KOLTUK ISITMA -SOĞUTMA-BOSE SES -CARBON-CHRONO,2012.0,194.0,Beyaz,2.750.000 TL,"11 Nisan
2023","Denizli
Pamukkale",
Taycan,4S Performance Plus,ALKAN AŞ 2020 TAYCAN 4S PERFORMANCE PLUS-TRÜF-SO ĞUTMA-CHRONO,2020.0,55.0,Siyah,5.250.000 TL,"11 Nisan
2023","Ankara
Gölbaşı",
Taycan,4S Performance Plus,2020 PORSCHE TAYCAN 4S+BAYİ+SOĞUTM­A+PERFORMANCE PLUS+YOLCU EKRAN,2020.0,6.001,Lacivert,6.150.000 TL,"11 Nisan
2023","Eskişehir
Odunpazarı",
Taycan,Taycan,DOĞUŞ ÇIKIŞLI-SAHIBINDE­N-HATASIZ-BOYASIZ -AIRMATIC-KIRMIZI DERİ,2021.0,17.0,Beyaz,4.850.000 TL,"11 Nisan
2023","İstanbul
Başakşehir",
Cayman,Cayman,2007 CAYMAN 82.000 KM DOĞUŞ ÇIKIŞLI-BOSE-SPOR EGZ.-CARPLAY,2007.0,82.0,Siyah,1.590.000 TL,"11 Nisan
2023","İstanbul
Sarıyer",
Taycan,Turbo S,PAN MOTORS 2020 TAYCAN TURBO S BOSE MÜZİK SİSTEMİ,2020.0,6.1,Beyaz,7.950.000 TL,"11 Nisan
2023","İstanbul
Sarıyer",
Panamera,Panamera S Hybrid,Kusursuz temizlikte A+ kondisyonda garaj aracı,2012.0,127.0,Siyah,4.040.000 TL,"11 Nisan
2023","Ordu
Altınordu",
Taycan,Turbo,GERZ OTOMOTİV`DEN 2020 TAYCAN TURBO AİRMATİC/YOLCU EKRAN,2020.0,35.0,Siyah,7.000.000 TL,"11 Nisan
2023","İstanbul
Bağcılar",
Panamera,Panamera Diesel,PORSCHE PANAMERA DİESEL PUSULA/AIR/ARKA KLİMA CHROME,2012.0,198.0,Siyah,2.475.000 TL,"11 Nisan
2023","Antalya
Muratpaşa",
Taycan,4S Performance Plus,AVRASYA GROUP'TAN PORSCHE TAYCAN 4S PERFORMANCE PLUS /2020/571HP,2020.0,38.0,Beyaz,5.000.000 TL,"11 Nisan
2023","Ankara
Çankaya",
Taycan,4S Sport Turismo,2022 PORSCHE TAYCAN 4S SPORT TURİSMO/571 HP/BOSE/YOLCU EKRANI,2022.0,6.005,Beyaz,6.999.000 TL,"11 Nisan
2023","İstanbul
Beyoğlu",
911,Carrera 4S,RAIN CAR DAN PORSCHE CARRERA 4S CABRIO CHRONO HATASIZ,2013.0,83.3,Beyaz,6.989.000 TL,"11 Nisan
2023","İstanbul
Ataşehir",
Taycan,4 Cross Turismo,BAYİİİ ÇIKIŞLI HATASIZ 2027 YILINA KADAR GARANTİLİ,2022.0,8.5,Siyah,7.500.000 TL,"11 Nisan
2023","İstanbul
Beylikdüzü",
Panamera,Panamera 4,SAHİBİNDEN-H­ATASIZ-BAYİ CIKIŞLI-PANAMERA 4-TAM DOLU-4x4,2011.0,229.0,Beyaz,2.470.750 TL,"11 Nisan
2023","Sakarya
Sapanca",
Panamera,Panamera Diesel,AUTO ERAY'DAN **PANAMERA 3.0D 300hp 48 AYA VARAN TAKSİT,2012.0,170.0,Beyaz,3.650.000 TL,"11 Nisan
2023","Sinop
Merkez",
Panamera,Panamera 4 Platinum Edition,2022~BAYİ~PANAMERA 4//ARKA AKS+SPOR KOLTUKLAR+S­OĞUTMA+SPOR EGZOZ,2022.0,8.8,Siyah,13.150.000 TL,"11 Nisan
2023","Trabzon
Ortahisar",
Taycan,Taycan,Sifir hata kapali garaj Performance Plus turbo jant spor design,2021.0,17.5,Siyah,4.850.000 TL,"11 Nisan
2023","İstanbul
Sarıyer",
911,Targa 4 GTS,TARGET MOTORS 2022 PORSCHE 911 TARGA 4 GTS 480 HP HATASIZ,2022.0,6.245,Beyaz,16.700.000 TL,"10 Nisan
2023","İstanbul
Beşiktaş",
Panamera,Panamera 4S Diesel,KRAL'DAN BOYASZ-TRAMERSZ 99BİN KM-BAYİ-4SDİESEL-­SOĞUTMA-AİRMATİC,2017.0,99.0,Siyah,8.900.000 TL,"10 Nisan
2023","Ankara
Akyurt",
Panamera,Panamera Diesel,KRAL'DAN 2013 PANAMERA-AİRMATİC -VAKUM-4K.ISITMA -BOSE-NAVİ-BAYİİİ,2013.0,182.0,Siyah,2.735.000 TL,"10 Nisan
2023","Ankara
Akyurt",
Panamera,Panamera Diesel,GALERİ AYHAN'dan Hatasız Tadında Panamera Diesel,2012.0,240.0,Siyah,2.750.000 TL,"10 Nisan
2023","Konya
Karatay",
Taycan,GTS,- MAJESTY - 2022 PORSCHE TAYCAN GTS AIRMATIC BOSE DISTRONIC,2022.0,6.001,Beyaz,8.100.000 TL,"10 Nisan
2023","İstanbul
Kadıköy",
Taycan,Turbo,EROL MOTORS'DAN 2020 TAYCAN TURBO KIRMIZI DERİ/MİSSİON E JANT,2020.0,35.0,Beyaz,6.000.000 TL,"10 Nisan
2023","Antalya
Muratpaşa",
Panamera,Panamera Diesel,2015 Çıkışlı Panamera Boyasız ısıtma-sogutma-va­kum-Karbon-Bayii.,2014.0,112.0,Beyaz,4.850.000 TL,"10 Nisan
2023","Balıkesir
Edremit",
Cayman,Cayman,HASAR KAYITSIZ DÜŞÜK KM PORSCHE CAYMAN,2012.0,46.849,Gri,2.400.000 TL,"10 Nisan
2023","İstanbul
Sarıyer",
Taycan,4S Performance Plus,MLS MOTORS GÜVENCESİ İLE BAYİİ ÇIKIŞLI 4S PERFORMANCE PLUS,2021.0,30.2,Füme,4.825.000 TL,"10 Nisan
2023","Ankara
Akyurt",
Panamera,Panamera Diesel,2012 MODEL PORSCHE PANAMERA 3.0 DİESEL,2012.0,178.0,Beyaz,4.250.000 TL,"10 Nisan
2023","Balıkesir
Edremit",
Taycan,4S Performance Plus,FAZLIOĞLU GROUP 2021 PORSCHE TAYCAN 4S PERFORMANCE PLUS/HATASIZ,2021.0,17.0,Gri,5.450.000 TL,"10 Nisan
2023","Kayseri
Kocasinan",
Taycan,4S Performance Plus,ARDEN AŞ PORSCHE TAYCAN PERFORMANS PLUS SİYAH-KIRMIZI!,2020.0,34.5,Siyah,5.390.000 TL,"10 Nisan
2023","İzmir
Bornova",
911,Carrera 4S,POSH MOTORS_2008 PORSCHE 911 4S HRE JANT CHRONO BOSE ISITMA,2008.0,107.0,Siyah,3.420.000 TL,"10 Nisan
2023","İstanbul
Pendik",
Panamera,Panamera 4 E-Hybrid,MODENA MOTORS 2022 MODEL PORSCHE PANAMERA 4 E-HYBRİD+462HP,2022.0,6.001,Siyah,13.150.000 TL,"10 Nisan
2023","İstanbul
Kadıköy",
Panamera,Panamera 4 Sport Turismo,2019 DOĞUŞ BAYİ ÇIKIŞLI HATASIZ-BOYAS­IZ-TRAMERSİZ PORSCHE,2019.0,47.3,Gri,7.750.000 TL,"10 Nisan
2023","Ankara
Etimesgut",
Boxster,Boxster,BAVARIA GARAGE 1997 287.212 km PORSCHE BOXSTER MANUEL,1997.0,287.212,Lacivert,995.000 TL,"10 Nisan
2023","İstanbul
Sarıyer",
Panamera,Panamera 4 E-Hybrid,"""""GARDEN""""2022 PLATINUM EDITION MASAJ ARKA AKS TESLİME HAZIR",2022.0,6.004,Füme,12.400.000 TL,"10 Nisan
2023","İstanbul
Ataşehir",
Taycan,Turbo S,SAHİBİNDEN 2020 PORSCHE TAYCAN TURBO S,2020.0,4.25,Gri,6.650.000 TL,"10 Nisan
2023","İstanbul
Beşiktaş",
Panamera,Panamera Diesel,EMSALSiZ PANEMERA,2012.0,210.0,Beyaz,3.900.000 TL,"10 Nisan
2023","Trabzon
Of",
Taycan,4 Cross Turismo,"TAYCAN 4 CROSS TURİSMO ELEKTRİK /2022/ FÜME / DOĞUŞ ÇIKIŞLI
Yetkili Bayi",2022.0,11.5,Siyah,6.350.000 TL,"10 Nisan
2023","İstanbul
Üsküdar",
911,Carrera S,2007 Carrera S Bayi,2007.0,145.0,Siyah,2.750.000 TL,"10 Nisan
2023","İzmir
Çiğli",
911,Carrera,YABANCIDAN YABANCIYA YENİKÖY MOTORS 2021 PORSCHE 911 CARRERA,2021.0,18.6,Gri,5.550.000 TL,"10 Nisan
2023","İstanbul
Sarıyer",
Panamera,Panamera Diesel,PORSHE PANAMERA DİZEL KAZASIZ TAM DOLU PUSULA EĞLENCE PAKET..,2012.0,186.0,Beyaz,2.750.000 TL,"10 Nisan
2023","Bursa
Osmangazi",
,,,,,,,,,
911,Turbo,2008 PORSCHE 911 TURBO GT2 BODY KIT O.Z JANT BOYASIZ,2008.0,93.0,Siyah,4.250.000 TL,"10 Nisan
2023","İstanbul
Sarıyer",
Panamera,Panamera Diesel,'MavişMotors'Air­Matic+Soğutma+Ch­orona+Bose+Keyl­ess+Navi+Hatasız,2012.0,99.0,Beyaz,3.275.900 TL,"10 Nisan
2023","İstanbul
Gaziosmanpaşa",
Boxster,Boxster,HATASIZ BOYASIZ TRAMERSİZ BOXSTER,2014.0,77.0,Füme,3.250.000 TL,"10 Nisan
2023","Bursa
Nilüfer",
Taycan,4S Performance Plus,MAZZINI..KIRMIZI KOLT..YOLCU EKRAN..ARKA AKS..CHORONO..HEAD UP..,2020.0,31.411,Siyah,5.420.000 TL,"10 Nisan
2023","İzmir
Balçova",
Panamera,Panamera Diesel,ATA GRUP MOTORS hatasız,2013.0,128.0,Beyaz,3.525.000 TL,"10 Nisan
2023","İstanbul
Esenyurt",
Panamera,Panamera 4S,CİO MOTORS PANAMERA 4S 400HP V8 FACELİFT 21 JANT CHRONO AIRMATIC,2011.0,95.0,Beyaz,3.695.000 TL,"10 Nisan
2023","İzmir
Bornova",
Taycan,4S Performance Plus,İNCİ'DEN 2020 TAYCAN 4S SERAMİC+BOSE+­SOĞUTMA+YOLCU EKRAN TAMDOLU,2020.0,14.0,Beyaz,5.750.000 TL,"10 Nisan
2023","Kayseri
Kocasinan",
Panamera,Panamera 4,2011 PORSCHE PANAMERA 4 NAVİGSYON SUNROF PDK ISTMA 143.000 KM DE,2011.0,143.0,Siyah,2.290.000 TL,"10 Nisan
2023","Van
Edremit",
Panamera,Panamera 4,"2011 PORSCHE PANEMARA 4. 3.6 V6 PDK 140,000 KM BAKIMLARI TAM",2011.0,140.0,Siyah,2.449.900 TL,"10 Nisan
2023","Bursa
Nilüfer",
Taycan,Taycan,2023 TAYCAN DOĞUŞ,2022.0,6.5,Beyaz,7.500.000 TL,"10 Nisan
2023","Bursa
Osmangazi",
911,Carrera 4S,VERGİ BARIŞLI-KUSURSUZ-EN DOLUSU-SOĞUTMA-SPOR EGSOZ,2012.0,66.0,Beyaz,6.750.000 TL,"10 Nisan
2023","İstanbul
Başakşehir",
Cayman,Cayman,SPEED'DEN 2013 PORSCHE CAYMAN 2.7 PDK DOĞUŞ ÇIKIŞLI BOYASIZ,2013.0,108.621,Beyaz,2.525.000 TL,"10 Nisan
2023","İstanbul
Kadıköy",
911,Carrera,BAVARIA GARAGE 2012 82.489 km PORSCHE 911 CARRERA VERGİ BARIŞLI,2012.0,82.489,Beyaz,5.650.000 TL,"10 Nisan
2023","İstanbul
Sarıyer",
911,Carrera 4S,POYRAZDAN 2020 PORSCHE 911 CARRERA 4S-17.000km-SİYAH KIRMIZI,2020.0,17.0,Siyah,13.000.000 TL,"10 Nisan
2023","Antalya
Kepez",
911,Carrera 4S,GALLERİA-2019 PORSCHE 911 CARRERA 4S-HATASIZ-SO ĞUTMA-CHRONO,2019.0,11.067,Füme,13.000.000 TL,"10 Nisan
2023","İstanbul
Şişli",
Panamera,Panamera 4S Diesel,UGR MOTORS BOYASIZ 2017 PANAMERA 4S DIESEL CARBON-TURBO KANAT,2017.0,96.0,Beyaz,9.250.000 TL,"10 Nisan
2023","Ankara
Çankaya",
Panamera,Panamera Diesel,"Baspinar Oto 2012 Porsche Panamera 3.0D-Bayi,Bose,­Chrono,CarPlay",2012.0,142.55,Füme,3.250.000 TL,"10 Nisan
2023","İstanbul
Sarıyer",
Panamera,Panamera Diesel,BORAM MOTORS'DAN KUSURSUZ TEMİZLİKTE PANAMERA DİESEL,2012.0,295.0,Beyaz,2.950.000 TL,"10 Nisan
2023","Sivas
Merkez",
911,Carrera S,"İLK SAHİBİNDEN DOĞUŞ SERVİS BAKIMLI,57BİN KMTAM ÖTV(VERGİ BARIŞ)",2012.0,57.0,Gümüş Gri,6.000.000 TL,"10 Nisan
2023","İstanbul
Üsküdar",
911,Carrera,MERKAR - 2012 PORSCHE 911 CARRERA BAYİ HATASIZ 55.000KM,2012.0,55.0,Beyaz,5.740.000 TL,"10 Nisan
2023","İstanbul
Bakırköy",
911,Carrera 4S,SS MOTORS BAYİ 2021 911 CARRERA 4S-LIFTING-SPOR EGZOZ-CHRONO,2021.0,11.033,Gri,16.700.000 TL,"10 Nisan
2023","İstanbul
Şişli",
911,Carrera 4S,MIATA CAR 2008 PORSCHE 911 CARRERA 4S-BOSE-ISITMA-SPOR EGZ-BAYİ,2008.0,138.684,Siyah,2.950.000 TL,"10 Nisan
2023","İstanbul
Çekmeköy",
Taycan,Taycan,NASYONEL BAYİ PLUS CHALK BEJ SPORT CHRONO 4+1 KOLTK ISITMA BOSE,2022.0,6.231,Beyaz,5.390.000 TL,"10 Nisan
2023","İstanbul
Beşiktaş",
911,Carrera 4S,2013 PORSCHE 911 CARRERA 4S SPOR EGSOZ BOSE BOYASIZ 13.645'KM,2013.0,13.645,Beyaz,6.950.000 TL,"10 Nisan
2023","Aydın
Efeler",
Panamera,Panamera Diesel,OTTO'DAN BAYİ MAKYAJLI MATRİX BOSE VAKUM PUSULA CHRONE 5BÖLGE,2013.0,155.0,Siyah,4.125.000 TL,"10 Nisan
2023","Denizli
Merkezefendi",
Taycan,Turbo S,ARS MOTORS 2020 PORSCHE TAYCAN TURBO S ''HATASIZ'',2020.0,6.33,Beyaz,7.300.000 TL,"10 Nisan
2023","İstanbul
Beşiktaş",
Panamera,Panamera Diesel,RIDVAN DEMİR'DEN 2012 PORSCHE PANAMERA 3.0 DİESEL HATASIZ BAYİ,2012.0,205.0,Siyah,2.675.000 TL,"10 Nisan
2023","Ankara
Yenimahalle",
Panamera,Panamera Diesel,REİS AUTO BAYİ ÇIKIŞLI HATASIZ BOYASIZ HASAR KAYITSIZ PORSCHE,2012.0,180.0,Siyah,3.800.000 TL,"10 Nisan
2023","Afyonkarahisar
Merkez",
Taycan,4 Cross Turismo,2021 TAYCAN 4 CROSS TURİSMO SPORT DESİGN-İÇİ TRÜF-SOĞUTMA-AİRMTC,2021.0,8.375,Gri,7.150.000 TL,"10 Nisan
2023","İstanbul
Sarıyer",
Taycan,4S,SS MOTORS 2021 TAYCAN 4S-HEAD UP-YOLCU EKRANI-SOĞUTMA-KÖR NOKTA,2021.0,14.656,Siyah,4.850.000 TL,"10 Nisan
2023","İstanbul
Şişli",
Panamera,Panamera Diesel,ROTA MOTORS 2012 PANAMERA SPORT DESİGN+VERGİ BARIŞLI+GTS KOLTUK,2012.0,245.0,Siyah,2.850.000 TL,"10 Nisan
2023","İstanbul
Bağcılar",
Taycan,4S Performance Plus,İçi kırmızı en ful paket Kapalı garaj arabası,2021.0,24.0,Siyah,6.450.000 TL,"10 Nisan
2023","Bursa
Osmangazi",
Panamera,Panamera 4,Porsche Panamera 4 Vergi Barışlı,2011.0,258.0,Siyah,2.190.000 TL,"10 Nisan
2023","Antalya
Aksu",
Taycan,4S,PORSCHE TAYCAN 4S PERFORMANCE PLUS - HATASIZ,2020.0,22.0,Siyah,7.000.000 TL,"10 Nisan
2023","Bursa
Nilüfer",
Panamera,Panamera Diesel,EFE'DEN-2014PA­NAMERA-BOYASIZ -PLATİNİUM-İÇİ KIRMIZI-TAM FULL BAYİ,2014.0,149.0,Siyah,4.170.000 TL,"10 Nisan
2023","Ankara
Çankaya",
Taycan,4S Performance Plus,KACCAR'S 2020 MODEL BAYi TAYCAN 4S PERFORMANCE PLUS TRÜF DERİ,2020.0,14.85,Siyah,5.850.000 TL,"10 Nisan
2023","İstanbul
Bağcılar",
Panamera,Panamera Diesel,MERT MOTORS'dan 2012 MODEL PORSCHE PANAMERA DİESEL BAYİ ÇIKIŞLI,2012.0,242.0,Siyah,2.850.000 TL,"10 Nisan
2023","Ankara
Yenimahalle",
Panamera,Panamera Diesel,SERKAN..PANAMERA CHRONA+AİR+MAT­RİX+KEYLES+NAVİ­+VAKUM+KIRMIZI İÇ,2014.0,192.0,Beyaz,4.020.000 TL,"10 Nisan
2023","Samsun
Vezirköprü",
Panamera,Panamera 4,TR'DE TEK ! BOŞ DÜĞME YOK! HATASIZ BOYASIZ EN DOLUSU 98.000KM,2011.0,98.0,Mavi,3.300.000 TL,"09 Nisan
2023","İzmir
Urla",
911,Carrera 4,BOSS MOTORS 'tan Harika bir 911 Carrera,2001.0,150.0,Lacivert,2.150.000 TL,"09 Nisan
2023","İzmir
Bayraklı",
Taycan,Taycan,GÖRSELİ BOŞVER BİRDE YOLDA GÖR//GÜÇ TUTKU VE DAHA FAZLASI...,2021.0,12.0,Lacivert,5.290.000 TL,"09 Nisan
2023","İstanbul
Bağcılar",
911,Carrera GTS,ERCAR MOTORS PORSCHE CARRERA GTS-BURMESTER -SOĞUTMA-LİFT,2022.0,6.5,Siyah,14.000.000 TL,"09 Nisan
2023","İstanbul
Beşiktaş",
Taycan,Taycan,"2022 PORSCHE TAYCAN P. PLUS /21"" JANT/YLC EKRAN/PASM/­22KW/CHRONO",2022.0,20.0,Siyah,5.350.000 TL,"09 Nisan
2023","İstanbul
Başakşehir",
Panamera,Panamera Diesel,2012 MODEL DEĞİŞENSİZ PORSCHE PANAMERA DİESEL 3.0 V6,2012.0,286.0,Kahverengi,3.150.000 TL,"09 Nisan
2023","Konya
Karatay",
Panamera,Panamera Diesel,GRİ CARBON RENK BOYASIZ CAR PLAY GERİ GÖRÜŞ VAKUM KAPI,2013.0,138.0,Gri,3.700.000 TL,"09 Nisan
2023","İstanbul
Üsküdar",
Panamera,Panamera Diesel,2015 BAYİ ÇIKIŞLIDIR ÖZEL SPARİŞTİR EMSALSİRDİR TÜRKİYEDE TEK !!,2015.0,161.0,Siyah,4.550.000 TL,"09 Nisan
2023","Mersin
Akdeniz",
911,Turbo,Doğuş çıkışlı 2001 model Porsche 996 Carrera Turbo Face lift,2001.0,59.0,Gümüş Gri,4.000.000 TL,"09 Nisan
2023","İstanbul
Sarıyer",
911,Turbo,TURBO PDK -BAYİ - SERAMİK FREN - TECHART EGZOZ / INTAKE / CARBON,2010.0,44.2,Gri,7.250.000 TL,"09 Nisan
2023","Aydın
Nazilli",
Taycan,4 Cross Turismo,NARİN'DEN PORSCHE TAYCAN 4 CROSS TURISMO BAYİ ÇIKIŞLI,2022.0,6.1,Siyah,6.250.000 TL,"09 Nisan
2023","İstanbul
Beşiktaş",
Panamera,Panamera Diesel,AUTO CAYMAZ 2012 BAYİİ PORSCHE PANAMERA DİZEL,2012.0,174.0,Siyah,3.450.000 TL,"09 Nisan
2023","Muğla
Fethiye",
Taycan,4S Performance Plus,Full Donanımlı ve Kapalı Garaj Arabasıdır,2020.0,16.0,Gri,4.950.000 TL,"09 Nisan
2023","İstanbul
Beykoz",
Panamera,Panamera Diesel,2012 PORSCHE PANAMERA DİESEL 65000 km BAYİ,2012.0,65.0,Siyah,3.490.000 TL,"09 Nisan
2023","Antalya
Alanya",
Cayman,Cayman,Hu Cars - Doğuş çıkışlı/Hatası­z/Boyasız/Tram­ersiz/98.000km,2008.0,98.0,Siyah,1.880.000 TL,"09 Nisan
2023","Bursa
Nilüfer",
911,Carrera,Orjinal PORSCHE 911 Carrera 3.4 lt. 86 bin KM. Supersprint,2001.0,86.211,Gümüş Gri,1.695.000 TL,"09 Nisan
2023","Bursa
Mudanya",
Panamera,Panamera Diesel,Hasar kayıtsız değişensin temiz Panamera .,2012.0,189.0,Siyah,2.975.000 TL,"09 Nisan
2023","İzmir
Bayraklı",
911,Carrera 4S,PORSCHE 911 CARRERA 4S / Lift - Burmester - Arka Aks - SprDesign,2019.0,12.9,Siyah,11.600.000 TL,"09 Nisan
2023","Kocaeli
İzmit",
911,Carrera 4S,"Sahibinden, Doğuş bakımlı, mükemmel kondisyonda 4S - 42.000 km",2012.0,41.75,Siyah,5.980.000 TL,"09 Nisan
2023","İstanbul
Sarıyer",
911,Carrera 4S,EC MOTORS 2013 911 CARRERA 4S PDK 31.000 KM BOYASIZ TRAMERSİZ,2013.0,31.0,Beyaz,6.450.000 TL,"09 Nisan
2023","İstanbul
Bakırköy",
911,Carrera 4,SAHIBINDEN COK TEMIZ-DUSUK KM-TRAMERSIZ,2001.0,128.0,Gümüş Gri,1.750.000 TL,"09 Nisan
2023","İstanbul
Sarıyer",
Panamera,Panamera 4 Platinum Edition,MAG PORSCHE PANAMERA 4 PLATINUM EDITION,2022.0,6.021,Siyah,11.600.000 TL,"09 Nisan
2023","İstanbul
Sancaktepe",
Boxster,Boxster,ARS MOTORS 1997 PORSCHE 986 BOXSTER 2.5 204 HP STOCK,1997.0,63.0,Gri,763.000 TL,"09 Nisan
2023","İstanbul
Beşiktaş",
911,Carrera 4,'' SYL GROUP '' PORSCHE CARRERA 4+CRUZ+SUNRO­OF+PDK+DOĞUŞ BAYİ+++,2001.0,128.0,Gümüş Gri,1.650.000 TL,"09 Nisan
2023","İstanbul
Bağcılar",
911,Carrera 4S,-MAKINA VADI-2013 PORSCHE 911 CARRERA 4S CABRIO PDK-BOSE-CHRONO,2013.0,49.0,Beyaz,7.450.000 TL,"09 Nisan
2023","İstanbul
Sarıyer",
Taycan,Turbo S,TARGET MOTORS 2020 TAYCAN TURBO S 761 HP KARBON SERAMİK FREN,2020.0,0.0,Mavi,6.950.000 TL,"09 Nisan
2023","İstanbul
Beşiktaş",
911,Turbo,2001 PORSCHE 911 TURBO 4*4 3.6 420Hp OTOMATİK MASRAFSIZ,2001.0,130.0,Gri,3.710.000 TL,"09 Nisan
2023","İstanbul
Başakşehir",
