seri,model,titles,year,km,color,prices,date,Il,Ilce,id,km_median,km / median
Panamera,Panamera Diesel,ALLY CARS │ 2012 PORSCHE PANAMERA 3.0 D CHRONO CARBON BOSE,2012,210000,Mavi,2290000,2023-03-31,İstanbul,Başakşehir,40,205000.0,1.024390243902439
Cayman,Cayman,2014 Porsche Cayman 2.7 PDK - 39500km - SOUL Egzoz - Alcantara,2014,39500,Siyah,3500000,2023-03-31,İstanbul,Sancaktepe,40,54000.0,0.7314814814814815
Cayman,S,'GALATA' 2012 PORSCHE CAYMAN S 987/2 HATASIZ BAYİİ...,2012,155000,Siyah,2750000,2023-03-31,İstanbul,Beyoğlu,40,155000.0,1.0
Panamera,Panamera Diesel,HRN AUTO PORSCHE PANAMERA CHRONO PUSULA +VAKUM+CARBON DİREKSİYON,2013,179000,Beyaz,3650000,2023-03-30,İstanbul,Silivri,40,178000.0,1.0056179775280898
911,Carrera S,Sahibinden 2006 Carrera S Kazasız Orjinal,2006,126400,Siyah,2875000,2023-03-30,İstanbul,Başakşehir,40,148200.0,0.8529014844804319
Panamera,Panamera 4 - 10 Years Edition,EKCAR'DAN 2020 (%18KDV) PANAMERA 4 - 10 YEARS EDITION HATASIZ,2020,48000,Siyah,7920000,2023-03-30,İstanbul,Bağcılar,40,48000.0,1.0
Panamera,Panamera 4S,KARATEK OTOMATIVDEN PORSCHE PANAMERA 4S,2010,200000,Beyaz,3250000,2023-03-30,Afyonkarahisar,Merkez,0,194000.0,1.0309278350515463
Panamera,Panamera Diesel,BOYASIZ 119 BİN KM PLATİNİUM EDİTİON AİR MARSHLA CARBON 4 SOĞTMA,2012,119000,Beyaz,3625000,2023-03-30,Samsun,Atakum,67,205000.0,0.5804878048780487
Panamera,Panamera Diesel,BAYİ ÇIKIŞLI// 2014 MODEL//MAKYA­JLI//VAKUMLU KAPILAR//ARKA KLiMA,2014,119000,Beyaz,4350000,2023-03-30,Antalya,Alanya,8,155000.0,0.7677419354838709
Panamera,Panamera Diesel,*** ESA MOTORS ***2015 BAYİ MAKYAJLI PANEMERA DİESEL-SOĞUTMA-VKM,2015,90000,Siyah,4750000,2023-03-30,İstanbul,Esenyurt,40,136500.0,0.6593406593406593
Taycan,4S Performance Plus,PALM AUTO 2020 TAYCAN 4S PERFORMANCE PLUS SPRT DESIGN AKS SGTMA,2020,14000,Siyah,5750000,2023-03-30,İstanbul,Bakırköy,40,22000.0,0.6363636363636364
Taycan,Taycan,ART MOTORS 2021 PORSCHE TAYCAN HEADUP CHRONO SOĞUTMA BOSE ISITMA,2021,25000,Beyaz,5325000,2023-03-30,İstanbul,Kadıköy,40,17500.0,1.4285714285714286
Cayman,Cayman,MS CAR'DAN 2012 PORSCHE CAYMAN S - TAKAS OLUR -,2012,125000,Siyah,2300000,2023-03-30,İstanbul,Ataşehir,40,94000.0,1.3297872340425532
Panamera,Panamera Diesel,ASKAR OTOMOTİV'DEN 2015 PANAMERA DIESEL DOĞUŞ ÇIKIŞLI,2015,162850,Siyah,3890000,2023-03-30,İstanbul,Bağcılar,40,136500.0,1.193040293040293
Panamera,Panamera 4,HATASIZ BOYASIZ !!,2011,153000,Beyaz,4000000,2023-03-30,Antalya,Serik,8,170000.0,0.9
Taycan,4 Cross Turismo,Carmona | Porsche Taycan 4 Cross Turismo Hatasız Tramersiz,2021,9000,Siyah,5850000,2023-03-30,İstanbul,Üsküdar,40,9000.0,1.0
Taycan,4S Performance Plus,SAHİBİNDEN TAYCAN 4S PERFORMANS PLUS BAYİ,2021,40000,Siyah,5460000,2023-03-30,Ankara,Sincan,7,25000.0,1.6
Taycan,4S Performance Plus,PORSCHE TAYCAN 4S PERFORMANCE PLUS-BOYASIZ-BOSE MUSİC-ISTMA,2020,25000,Mavi,5225000,2023-03-30,Ankara,Çankaya,7,22000.0,1.1363636363636365
Boxster,Boxster,2008 porsche boxster doğuş çıkışlı 139000 km pazarliksız,2008,135000,Siyah,1490000,2023-03-30,İstanbul,Ataşehir,40,135000.0,1.0
Taycan,4 Cross Turismo,BAYİ/TAYCAN 4CORSS TURİSMO/AİRMATİC/21 JNT/ISTMA/PERFORMANS PLS,2022,6100,Siyah,6520000,2023-03-30,İstanbul,Bağcılar,40,25720.0,0.23716951788491447
911,Carrera 4S,PORSCHE 911 CARRERA 4S PDK SOĞUTMA-BOSE-PUSULA FULL+FULL,2013,187000,Siyah,4950000,2023-03-30,İstanbul,Esenyurt,40,54632.0,3.4229023283057547
Taycan,4S Performance Plus,TARGET MOTORS PORSCHE TAYCAN 4S PRFRMANCE PLUS SPORT DESİNG 22KW,2020,11500,Beyaz,5450000,2023-03-30,İstanbul,Beşiktaş,40,22000.0,0.5227272727272727
Panamera,Panamera Diesel,-ZİRVE AUTO-2013 PLATİNUM EDİTON BOYASIZ TAM DOLU VERGI BARIŞLI,2013,110000,Beyaz,3505000,2023-03-30,İstanbul,Ümraniye,40,178000.0,0.6179775280898876
Taycan,Taycan,HANCAR 2021 PORSCHE TAYCAN PERFORM.PLUS -DOĞUŞ ÇIKIŞLI-HATASIZ,2021,8000,Gri,5470000,2023-03-30,İstanbul,Eyüpsultan,40,17500.0,0.45714285714285713
Panamera,Panamera Diesel,2014 MODEL PORSCHE PANAMERA 3.0 DİESEL ÖZEL İTALAT TAM ÖTV,2014,170000,Siyah,3925000,2023-03-30,Antalya,Konyaaltı,8,155000.0,1.096774193548387
Taycan,4S Performance Plus,BAYİ 2021 PORSCHE TAYCAN 4S BOSE MÜZİK 21 JANT,2021,47000,Beyaz,5250000,2023-03-30,İstanbul,Üsküdar,40,25000.0,1.88
Panamera,Panamera Diesel,2015 PORSCHE PANAMERA 3.0 Diesel/BAYİ/BO­SE/SOĞUTMA/360 KAMERA/,2015,137000,Beyaz,4250000,2023-03-29,Erzurum,Yakutiye,31,136500.0,1.0036630036630036
Taycan,4S Performance Plus,PALM AUTO PORSCHE TAYCAN 4S PERFORMANCE PLUS DISTRONIC SOGUTMA,2021,26000,Beyaz,6050000,2023-03-29,İstanbul,Bakırköy,40,25000.0,1.04
911,Carrera 4 GTS,TARGET MOTORS 2022 PORSCHE 911 CARRERA 4 GTS,2022,6100,Siyah,16700000,2023-03-29,İstanbul,Beşiktaş,40,6100.0,1.0
Panamera,Panamera 4S,ARD OTOMOTİV 2011 PANAMERA 4S 95.000KM HATASIZ BAYİ TUBİ EGZOZ,2011,95000,Beyaz,3100000,2023-03-29,Denizli,Sarayköy,25,133000.0,0.7142857142857143
Panamera,Panamera 4,SAHIBINDEN HATASIZ BOYASIZ TRAMERISZ BAYİİ 194 BINDE,2011,195000,Beyaz,2421000,2023-03-29,İstanbul,Bakırköy,40,170000.0,1.1470588235294117
Panamera,Panamera 4S,2012 BAYİ PANAMERA 4S 400 HP 135.000 KM SOĞUTMA ISITMA BOSE,2012,135000,Siyah,3950000,2023-03-29,İstanbul,Esenler,40,140000.0,0.9642857142857143
Panamera,Panamera Diesel,M2C GROUP 2012 PANAMERA 3.0 DIESEL AİR CHORONO ISIT SOĞ BOSE.,2012,276000,Beyaz,2525000,2023-03-29,Bursa,Osmangazi,21,205000.0,1.3463414634146342
911,Targa 4S,2021 PORSCHE TARGA 4S SİYAH / KIRMIZI ARKA AKS LİFT !!!,2021,14500,Siyah,13200000,2023-03-29,İstanbul,Bakırköy,40,29780.0,0.48690396239086636
