seri;model;titles;year;km;color;prices;date;location
Boxster;Boxster;YETKİLİ BAYİ DEMİRKOLLAR Porsche Boxster 2.5 Boxster Tiptronic;1998;99.880;Siyah;949.950 TL;11Nisan2023;İstanbul Üsküdar
Boxster;Boxster;YETKİLİ BAYİ DEMİRKOLLAR Porsche Boxster 2.5 Boxster Tiptronic Yetkili Bayi;1998;99.880;Siyah;949.950 TL;11Nisan2023;İstanbul Üsküdar
911;Carrera 4S;"ENER/2006 CARRERA 4S-BOSE-ISITMA-­CHRONO-XENON-19""­JANTLAR-98500KM";2006;98.500;Siyah;2.750.000 TL;15Nisan2023;İstanbul Şişli
911;Carrera 4S;"ENER/2006 CARRERA 4S-BOSE-ISITMA-­CHRONO-XENON-19""­JANTLAR-98500KM";2006;98.500;Siyah;2.750.000 TL;15Nisan2023;İstanbul Şişli
911;Carrera 4S;"ENER/2006 CARRERA 4S-BOSE-ISITMA-­CHRONO-XENON-19""­JANTLAR-98500KM";2006;98.500;Siyah;2.750.000 TL;15Nisan2023;İstanbul Şişli
911;Carrera 4S;"ENER/2006 CARRERA 4S-BOSE-ISITMA-­CHRONO-XENON-19""­JANTLAR-98500KM";2006;98.500;Siyah;2.750.000 TL;15Nisan2023;İstanbul Şişli
911;Carrera 4S;"ENER/2006 CARRERA 4S-BOSE-ISITMA-­CHRONO-XENON-19""­JANTLAR-98500KM";2006;98.500;Siyah;2.750.000 TL;15Nisan2023;İstanbul Şişli
911;Carrera 4S;"ENER/2006 CARRERA 4S-BOSE-ISITMA-­CHRONO-XENON-19""­JANTLAR-98500KM";2006;98.500;Siyah;2.750.000 TL;15Nisan2023;İstanbul Şişli
911;Carrera 4S;"ENER/2006 CARRERA 4S-BOSE-ISITMA-­CHRONO-XENON-19""­JANTLAR-98500KM";2006;98.500;Siyah;2.750.000 TL;15Nisan2023;İstanbul Şişli
Cayman;Cayman;STAR MOTORS'DAN BAYİ 2014 PORSCHE CAYMAN 2.7 PDK 98.500 KM DE;2014;98.500;Gri;2.950.000 TL;18Nisan2023;İstanbul Kadıköy
